Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Packaging,Quantity,Unit Price,Extended Price,Bulk Qty,Bulk Unit Price,Bulk Extended,Description,
MAX5135GUE+,Maxim Integrated,MAX5135GUE+-ND,U20,Tube,1,5.58,$5.58,50,$5.266,$5.266,IC DAC 12BIT QUAD 16-TSSOP,
MAX5136AGUE+,Maxim Integrated,MAX5136AGUE+-ND,U10,Tube,1,6.66,$6.66,50,$6.286,$6.286,IC DAC 16BIT DUAL 16-TSSOP,
TL074CDT,ST,497-2204-1-ND,"U11,U12,U21",,3,0.44,$1.32,100,$0.155,$0.024,IC OPAMP JFET 3MHZ 14SO,
885012006006,Wurth Electronics Inc.,732-7750-1-ND,"C1, C2",Cut Tape (CT),2,0.1,$0.20,4000,$0.017,$0.034,CAP CER 47PF 10V C0G/NP0 0603,
AC0603FR-070RL,Yageo,311-0.0LDCT-ND,R9,Cut Tape (CT),1,0.1,$0.10,5000,$0.003,$0.003,RES SMD 0 OHM JUMPER 1/10W 0603,
CRG0603J10K,TE Connectivity Passive Product,A126331CT-ND,"R1,R2,R3,R4,R6,R7,R8,R11,R12,R13,R14,R16,R17,R19",Cut Tape (CT),14,0.014,$0.19,5000,$0.002,$0.024,RES SMD 10K OHM 5% 1/10W 0603,
3296W-1-103LF,Bourns Inc.,3296W-103LF-ND,"R10,R5,R20,R21,R22,R18",Tube,6,2.41,$14.46,50,$0.200,$1.200,TRIMMER 10K OHM 0.5W PC PIN,https://www.amazon.com/Kalevel-Resistor-Potentiometer-Assorted-Precision/dp/B015RJPLBQ/ref=sr_1_2?ie=UTF8&qid=1530058438&sr=8-2&keywords=3296w+10k
DEV-14057,SparkFun Electronics,1568-1442-ND,U5,Bulk,1,32.5,$32.50,1,$29.250,$29.250,TEENSY 3.6,pjrc
RC0603JR-07100KL,Yageo,311-100KGRCT-ND,R15,Cut Tape (CT),1,0.1,$0.10,5000,$0.003,$0.003,RES SMD 100K OHM 5% 1/10W 0603,
5747846-4,TE Connectivity AMP Connectors,A32126-ND,P1,Tray,1,3.68,$3.68,10,$0.898,$0.898,CONN D-SUB RCPT 25POS R/A SOLDER,https://www.amazon.com/Accessories-Db25-Female-Connector-Degree-10-PACK/dp/B00C58IPSO/ref=sr_1_10?ie=UTF8&qid=1530058388&sr=8-10&keywords=db-25+female
CL10A105KB8NNNC,Samsung Electro-Mechanics,1276-1860-1-ND,"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C15,C16,C17",Cut Tape (CT),14,0.127,$1.77,4000,$0.030,$0.414,CAP CER 1UF 50V X5R 0603,
CL31A226MQHNNNE,Samsung Electro-Mechanics,1276-1771-1-ND,C14,Cut Tape (CT),1,0.32,$0.32,100,$0.123,$0.123,CAP CER 22UF 6.3V X5R 1206,
DPU01L-12,Mean Well USA Inc.,1866-1408-ND,XY1212,Box,1,2.88,$2.88,50,$2.637,$2.637,DC DC CONVERTER +/-12V 1W,
ADP3338AKCZ-3.3RL7,Analog Devices Inc.,ADP3338AKCZ-3.3RL7CT-ND,U1 (AMS1117-3.3 Alt),Cut Tape (CT),1,3.11,$3.11,50,$0.100,$0.100,IC REG LINEAR 3.3V 1A SOT223-3,https://www.amazon.com/AMS1117-3-3V-Voltage-Regulator-AMS1117-3-3V/dp/B00898P4T2/ref=pd_lpo_vtph_263_lp_t_3?_encoding=UTF8&psc=1&refRID=2FAPVT0V447JYN4W0KKV
SSD1306-128x64-OLED,aliexpress,,PCB1,,1,2.5,$2.50,100,$2.000,$2.000,.96 OLED I2C GND-VCC,
RB16v2_PCB,JLCPCB,,Proto run of 10 + stencil,,1,3.7,$3.70,100,$0.912,$0.912,RB16v2,
,,,,,,,,,,,,
BOM COST,BULK COST (qty 100),,,,,,,,,,,
$79.07,$49.17,,,,,,,,,,,
